model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,ID
 A3,2015,9595,Manual,71335,Diesel,0,74.3,1.6,Audi,2179
 Polo,2017,10000,Manual,13544,Petrol,20,60.1,1.0,VW,13371
 C Class,2019,25699,Semi-Auto,11744,Petrol,145,47.1,1.5,Mercedes,20849
 X1,2016,21390,Automatic,22595,Petrol,160,44.8,2.0,BMW,20106
 Polo,2017,9900,Manual,33000,Petrol,150,60.1,1.2,VW,3669
 C Class,2018,27991,Semi-Auto,5386,Diesel,150,65.7,2.1,Mercedes,36423
 Polo,2016,10998,Manual,42317,Petrol,20,61.4,1.4,VW,32395
 GLE Class,2016,33480,Semi-Auto,40129,Diesel,300,39.2,3.0,Mercedes,1962
 A5,2019,26990,Manual,4000,Petrol,145,40.4,2.0,Audi,15906
 C Class,2015,14295,Semi-Auto,42618,Diesel,20,65.7,2.1,Mercedes,31797
 A6,2014,17490,Semi-Auto,64330,Diesel,200,47.9,3.0,Audi,9845
 C Class,2019,40649,Semi-Auto,11130,Petrol,145,30.4,3.0,Mercedes,7943
 Polo,2016,10298,Manual,23121,Diesel,0,60.1,1.4,VW,45502
 3 Series,2013,15000,Semi-Auto,21940,Diesel,125,58.9,2.0,BMW,32660
 C Class,2019,28990,Semi-Auto,2000,Diesel,145,57.7,2.0,Mercedes,23454
 X2,2019,25840,Semi-Auto,105,Diesel,145,50.4,2.0,BMW,33851
 4 Series,2019,25500,Automatic,3250,Petrol,145,48.7,2.0,BMW,15221
 3 Series,2019,17480,Semi-Auto,22539,Petrol,150,51.4,1.5,BMW,27363
 Golf SV,2018,15280,Manual,7140,Petrol,145,55.4,1.5,VW,27408
 A Class,2019,24995,Semi-Auto,10846,Petrol,150,28.5,2.0,Mercedes,26794
 Q3,2019,24990,Manual,6000,Petrol,145,40.9,1.5,Audi,37578
 C Class,2016,15698,Automatic,42062,Petrol,125,50.4,2.0,Mercedes,28054
 TT,2016,15690,Manual,45622,Petrol,150,47.1,1.8,Audi,34429
 E Class,2017,19980,Semi-Auto,38193,Diesel,145,72.4,2.0,Mercedes,31913
 5 Series,2014,11695,Automatic,65520,Diesel,30,62.8,2.0,BMW,7819
 3 Series,2019,24450,Manual,2912,Diesel,145,64.2,2.0,BMW,38971
 Tiguan,2016,17000,Semi-Auto,40494,Diesel,160,49.6,2.0,VW,13004
 GLE Class,2017,36995,Semi-Auto,15154,Diesel,300,39.2,3.0,Mercedes,32665
 C Class,2014,12600,Automatic,52379,Petrol,125,52.3,2.0,Mercedes,35310
 Golf SV,2019,22485,Semi-Auto,3170,Petrol,145,43.5,1.5,VW,162
 Golf,2017,18499,Automatic,23597,Diesel,145,57.7,2.0,VW,6593
 2 Series,2015,12490,Manual,33000,Diesel,30,64.2,2.0,BMW,35479
 Q3,2015,15698,Semi-Auto,12657,Petrol,150,47.9,1.4,Audi,14086
 C Class,2019,35068,Semi-Auto,11226,Petrol,145,45.6,1.5,Mercedes,35724
 TT,2019,29485,Automatic,3000,Petrol,145,40.9,2.0,Audi,18523
 Touran,2019,26299,Manual,796,Diesel,145,47.9,2.0,VW,44583
 GLE Class,2017,28498,Automatic,34236,Diesel,145,42.8,3.0,Mercedes,26863
 V Class,2015,27490,Automatic,57500,Diesel,235,44.8,2.1,Mercedes,19697
 Q3,2017,18995,Semi-Auto,27057,Petrol,145,47.9,1.4,Audi,34160
 A3,2019,19200,Automatic,5348,Diesel,145,54.3,1.6,Audi,38621
 3 Series,2019,27990,Manual,4465,Diesel,145,54.3,2.0,BMW,18283
 Polo,2017,9990,Manual,30069,Petrol,20,58.9,1.0,VW,11117
 Polo,2017,9995,Manual,40061,Diesel,145,74.3,1.4,VW,38662
 A3,2017,19990,Manual,31191,Diesel,145,58.9,2.0,Audi,38392
 A3,2019,19998,Semi-Auto,9758,Petrol,150,44.8,1.0,Audi,29176
 1 Series,2018,20450,Semi-Auto,14602,Diesel,145,60.1,2.0,BMW,20220
 Golf,2017,14290,Manual,31191,Diesel,20,68.9,2.0,VW,46593
 Q3,2017,19956,Semi-Auto,38150,Petrol,200,42.2,2.0,Audi,1752
 X1,2019,30900,Semi-Auto,678,Diesel,145,65.7,2.0,BMW,44881
 B Class,2019,20248,Automatic,14421,Petrol,145,45.6,1.3,Mercedes,37478
 2 Series,2018,16250,Manual,10401,Petrol,145,52.3,1.5,BMW,27804
 E Class,2018,41699,Semi-Auto,6910,Petrol,145,33.6,3.0,Mercedes,32793
 A Class,2020,25799,Automatic,2500,Diesel,145,56.5,2.0,Mercedes,26134
 A Class,2020,27990,Semi-Auto,159,Petrol,145,53.3,1.3,Mercedes,11125
 A4,2018,24990,Semi-Auto,16669,Diesel,145,61.4,2.0,Audi,43002
 Q3,2019,29990,Manual,750,Diesel,145,42.8,2.0,Audi,37120
 Tiguan,2020,30995,Manual,500,Diesel,145,42.2,2.0,VW,33710
 Arteon,2019,35750,Automatic,5619,Petrol,145,32.8,2.0,VW,35071
 1 Series,2013,11450,Manual,66621,Petrol,205,42.8,2.0,BMW,15335
 A4,2017,19220,Manual,14378,Diesel,30,67.3,2.0,Audi,18290
 Polo,2015,8699,Manual,20068,Petrol,20,60.1,1.0,VW,10805
 Golf,2019,20390,Automatic,8945,Petrol,145,45.6,1.5,VW,6256
 A3,2019,24950,Semi-Auto,5678,Petrol,145,42.2,1.5,Audi,34302
 A Class,2017,16995,Automatic,22929,Diesel,145,68.9,2.1,Mercedes,14407
 Golf,2016,13550,Semi-Auto,18552,Petrol,30,53.3,1.4,VW,31243
 Golf SV,2019,20297,Semi-Auto,7294,Petrol,145,42.8,1.5,VW,6310
 Polo,2019,14799,Manual,5404,Petrol,150,52.3,1.0,VW,43438
 C Class,2019,20980,Semi-Auto,14208,Petrol,145,44.1,1.5,Mercedes,9074
 A3,2019,24400,Semi-Auto,6961,Diesel,145,50.4,2.0,Audi,36563
 CLS Class,2017,23166,Automatic,35625,Diesel,165,49.6,3.0,Mercedes,15310
 5 Series,2020,42995,Automatic,7500,Hybrid,135,156.9,2.0,BMW,43698
 3 Series,2015,12999,Semi-Auto,45191,Diesel,125,58.9,2.0,BMW,1845
 4 Series,2018,16900,Automatic,27133,Petrol,145,44.8,2.0,BMW,865
 B Class,2019,21498,Manual,4653,Petrol,145,45.6,1.3,Mercedes,19133
 Golf,2017,12690,Manual,28772,Petrol,145,54.3,1.4,VW,36018
 Polo,2019,16995,Manual,1500,Petrol,145,49.6,1.0,VW,15083
 A6,2019,35399,Automatic,9600,Diesel,145,39.8,3.0,Audi,35721
 C Class,2017,22449,Semi-Auto,44998,Diesel,30,65.7,2.1,Mercedes,4685
 C Class,2019,27499,Semi-Auto,1211,Diesel,145,58.9,1.6,Mercedes,28426
 Tiguan,2016,18595,Manual,21521,Diesel,125,58.9,2.0,VW,20863
 Q5,2017,16295,Automatic,85780,Diesel,200,47.9,2.0,Audi,38659
 Polo,2020,16000,Manual,5,Petrol,145,47.9,1.0,VW,43730
 Polo,2016,9950,Manual,32147,Petrol,20,60.1,1.2,VW,35300
 1 Series,2019,17495,Semi-Auto,12375,Diesel,145,72.4,1.5,BMW,36391
 GLE Class,2016,34698,Semi-Auto,27229,Diesel,305,39.2,3.0,Mercedes,31201
 4 Series,2019,24750,Semi-Auto,4642,Petrol,145,45.6,2.0,BMW,1571
 A1,2020,24450,Semi-Auto,1870,Petrol,145,44.8,1.0,Audi,21321
 E Class,2019,41995,Semi-Auto,11799,Diesel,150,38.2,3.0,Mercedes,5635
 A Class,2015,16689,Semi-Auto,42100,Petrol,200,42.8,2.0,Mercedes,15073
 Golf,2016,11995,Manual,25552,Diesel,0,74.3,1.6,VW,25001
 Tiguan,2020,32390,Semi-Auto,2631,Diesel,145,45.6,2.0,VW,101
 A6,2015,15998,Semi-Auto,71030,Diesel,30,64.2,2.0,Audi,32734
 A4,2016,21995,Semi-Auto,47600,Diesel,145,56.5,2.0,Audi,217
 Polo,2016,8995,Manual,30933,Petrol,20,60.1,1.2,VW,17192
 4 Series,2015,15450,Automatic,67000,Diesel,30,65.7,2.0,BMW,2122
 A6,2010,8450,Manual,42000,Diesel,160,49.6,2.0,Audi,1895
 B Class,2014,8990,Semi-Auto,50554,Diesel,30,64.2,1.5,Mercedes,29165
 Up,2017,7290,Manual,10000,Petrol,150,64.2,1.0,VW,38476
 3 Series,2018,19490,Semi-Auto,28816,Petrol,150,48.7,2.0,BMW,4514
 Up,2014,4695,Manual,63030,Petrol,20,62.8,1.0,VW,7449
 A5,2015,15900,Manual,58386,Petrol,200,40.4,2.0,Audi,12978
 C Class,2019,23995,Semi-Auto,15280,Petrol,145,44.1,1.5,Mercedes,40953
 A5,2015,10995,Manual,65000,Diesel,150,55.4,2.0,Audi,9789
 GLE Class,2017,34950,Semi-Auto,22067,Hybrid,135,76.4,3.0,Mercedes,33194
 Up,2017,7895,Manual,38779,Petrol,20,64.2,1.0,VW,19316
 E Class,2007,4880,Automatic,58000,Diesel,315,37.2,3.0,Mercedes,26914
 X2,2020,33940,Automatic,2182,Petrol,145,34.0,2.0,BMW,28463
 1 Series,2017,15500,Manual,53248,Diesel,145,65.7,2.0,BMW,43083
 C Class,2017,18491,Semi-Auto,18390,Petrol,145,50.4,2.0,Mercedes,21961
 X1,2017,30980,Semi-Auto,10,Petrol,160,44.8,2.0,BMW,37150
 A6,2015,18490,Automatic,62890,Diesel,125,61.4,2.0,Audi,43468
 2 Series,2019,20980,Manual,1000,Petrol,145,52.3,1.5,BMW,10732
 E Class,2018,23354,Automatic,12527,Diesel,145,61.4,2.0,Mercedes,26563
 SL CLASS,2016,18690,Semi-Auto,22112,Diesel,30,70.6,2.1,Mercedes,39807
 1 Series,2017,15200,Automatic,26660,Diesel,20,67.3,2.0,BMW,18949
 4 Series,2020,27500,Semi-Auto,130,Petrol,145,45.6,2.0,BMW,21851
 Polo,2016,8998,Manual,33401,Petrol,20,60.1,1.2,VW,27172
 T-Cross,2019,19890,Automatic,4000,Petrol,145,45.6,1.0,VW,34306
 Touran,2016,17995,Semi-Auto,37000,Diesel,30,65.7,1.6,VW,11311
 Golf,2019,17298,Manual,5704,Petrol,145,47.1,1.5,VW,5592
 Q5,2016,19975,Automatic,29808,Diesel,200,47.1,2.0,Audi,23596
 B Class,2014,9701,Semi-Auto,27430,Diesel,20,68.9,1.5,Mercedes,9065
 2 Series,2019,18480,Semi-Auto,5356,Petrol,145,42.2,1.5,BMW,1616
 A1,2016,15498,Manual,20417,Petrol,30,70.6,1.4,Audi,11942
 3 Series,2019,27770,Semi-Auto,4050,Diesel,145,60.1,2.0,BMW,13886
 Up,2020,11590,Manual,25,Petrol,145,51.4,1.0,VW,41439
 3 Series,2015,12400,Manual,48402,Diesel,30,62.8,2.0,BMW,15099
 Q2,2019,21262,Manual,4868,Diesel,145,49.6,1.6,Audi,45562
 Golf SV,2019,22950,Semi-Auto,8000,Petrol,145,42.2,1.5,VW,43515
 A Class,2015,19600,Automatic,29917,Petrol,160,45.6,2.0,Mercedes,45708
 X3,2019,31196,Automatic,10155,Diesel,145,54.3,2.0,BMW,20496
 4 Series,2019,25990,Semi-Auto,2028,Diesel,145,65.7,2.0,BMW,5633
 T-Roc,2019,19987,Manual,4987,Diesel,145,50.4,1.6,VW,37052
 Polo,2018,12450,Manual,12168,Petrol,145,52.3,1.0,VW,9128
 Golf,2014,9249,Manual,57884,Diesel,20,68.9,2.0,VW,18111
 Touran,2017,16495,Manual,31000,Diesel,30,61.4,1.6,VW,24006
 2 Series,2017,14750,Automatic,10000,Petrol,145,55.4,1.5,BMW,41947
 Q3,2013,13495,Semi-Auto,48250,Diesel,205,47.9,2.0,Audi,3778
 Polo,2015,7799,Manual,40000,Petrol,20,60.1,1.0,VW,45650
 Polo,2017,11500,Manual,13000,Petrol,150,60.1,1.2,VW,17740
 Polo,2019,11999,Manual,8200,Petrol,150,48.7,1.0,VW,44191
 Golf,2019,18849,Semi-Auto,4600,Petrol,150,47.1,1.5,VW,30374
 Q2,2019,20950,Manual,6500,Petrol,150,45.6,1.0,Audi,16409
 T-Roc,2019,21841,Automatic,154,Diesel,145,50.4,2.0,VW,15208
 Golf,2015,11000,Manual,42470,Petrol,30,53.3,1.4,VW,10759
 1 Series,2014,8800,Manual,35974,Diesel,0,74.3,1.6,BMW,27677
 C Class,2014,10699,Automatic,50179,Diesel,145,53.3,2.1,Mercedes,34106
 5 Series,2017,22300,Automatic,12727,Diesel,150,65.7,2.0,BMW,43409
 CLS Class,2015,17100,Automatic,34063,Diesel,145,56.5,2.1,Mercedes,5059
 A3,2017,16400,Manual,19333,Petrol,20,60.1,1.4,Audi,36538
 Golf,2013,9990,Automatic,61700,Diesel,30,62.8,2.0,VW,44214
 X1,2018,16995,Semi-Auto,17276,Petrol,150,46.3,1.5,BMW,39030
 Passat,2019,31450,Automatic,7000,Diesel,145,44.1,2.0,VW,36645
 3 Series,2017,23481,Semi-Auto,33093,Diesel,145,51.4,3.0,BMW,33382
 A Class,2016,11900,Manual,69891,Diesel,20,68.9,1.5,Mercedes,44769
 CL Class,2016,13799,Manual,52173,Diesel,20,67.3,2.1,Mercedes,10311
 3 Series,2017,21995,Semi-Auto,25542,Diesel,160,51.4,3.0,BMW,28415
 Tiguan,2019,24290,Semi-Auto,5481,Petrol,145,37.7,1.5,VW,7040
 4 Series,2018,21840,Semi-Auto,10291,Diesel,150,65.7,2.0,BMW,21108
 Golf,2015,14995,Semi-Auto,42031,Diesel,30,62.8,2.0,VW,24682
 A Class,2018,15990,Automatic,14000,Diesel,145,74.3,1.5,Mercedes,30705
 Touareg,2016,21599,Semi-Auto,39866,Diesel,235,42.8,3.0,VW,14012
 3 Series,2020,23899,Automatic,1255,Petrol,150,47.9,2.0,BMW,2685
 A Class,2016,17495,Semi-Auto,45000,Diesel,20,67.3,2.1,Mercedes,3790
 A4,2017,19500,Automatic,30292,Diesel,30,65.7,2.0,Audi,4210
 A Class,2018,17549,Semi-Auto,16321,Diesel,145,68.9,2.1,Mercedes,26896
 Polo,2017,10499,Manual,24361,Petrol,20,60.1,1.2,VW,32977
 Golf,2014,11500,Manual,34271,Petrol,30,58.9,1.4,VW,44453
 A3,2015,15995,Semi-Auto,49487,Diesel,125,57.6,2.0,Audi,31480
 GLE Class,2020,56995,Semi-Auto,4242,Diesel,150,32.5,2.9,Mercedes,32711
 Golf,2019,18991,Automatic,4000,Diesel,145,51.4,1.6,VW,39835
 Q5,2018,38995,Semi-Auto,15387,Petrol,145,34.0,3.0,Audi,43223
 2 Series,2017,18100,Semi-Auto,20319,Petrol,145,48.7,2.0,BMW,16424
 Tiguan,2016,17995,Semi-Auto,22323,Diesel,160,49.6,2.0,VW,34790
 Q2,2019,20995,Manual,2085,Diesel,145,49.6,1.6,Audi,6594
 GLC Class,2016,30752,Semi-Auto,15385,Diesel,145,56.5,2.1,Mercedes,17855
 Tiguan,2019,30295,Manual,10,Diesel,145,47.9,2.0,VW,1907
 Golf,2017,22495,Semi-Auto,4500,Petrol,145,44.1,2.0,VW,21269
 Golf,2016,14298,Manual,27601,Petrol,20,60.1,1.4,VW,44241
 Touran,2016,14750,Manual,29057,Diesel,30,61.4,1.6,VW,22371
 Q7,2019,46850,Automatic,50,Diesel,145,33.6,3.0,Audi,17035
 5 Series,2016,13254,Automatic,68816,Diesel,30,62.8,2.0,BMW,36801
 Tiguan,2017,21800,Semi-Auto,29000,Diesel,165,49.6,2.0,VW,19392
 Golf,2014,11595,Manual,67000,Diesel,20,67.3,2.0,VW,14127
 A Class,2019,18085,Semi-Auto,14669,Diesel,145,68.9,1.5,Mercedes,22704
 Up,2019,8999,Manual,2120,Petrol,145,54.3,1.0,VW,30428
 3 Series,2017,17998,Semi-Auto,32000,Diesel,145,62.8,2.0,BMW,9463
 1 Series,2016,14480,Semi-Auto,37529,Diesel,20,68.9,1.5,BMW,43186
 Arteon,2019,25897,Semi-Auto,6777,Petrol,145,47.1,2.0,VW,40532
 E Class,2017,22576,Semi-Auto,23669,Diesel,165,51.4,3.0,Mercedes,6751
 Golf,2014,8495,Manual,71431,Petrol,30,53.3,1.4,VW,7440
 Touran,2016,15995,Manual,16358,Diesel,30,64.2,1.6,VW,4497
 2 Series,2016,9499,Manual,68848,Diesel,0,74.3,1.5,BMW,22886
 A3,2015,9599,Manual,31586,Diesel,0,74.3,1.6,Audi,22496
 A4,2019,22690,Manual,6995,Petrol,145,39.2,2.0,Audi,9019
 Polo,2019,12701,Manual,11431,Petrol,145,48.7,1.0,VW,13060
 A1,2016,10795,Manual,21658,Petrol,0,67.3,1.0,Audi,23639
 Q3,2019,27162,Semi-Auto,5263,Diesel,150,48.7,2.0,Audi,8145
 A Class,2014,16860,Automatic,20011,Petrol,145,45.6,2.0,Mercedes,14596
 4 Series,2017,20800,Semi-Auto,14774,Diesel,125,58.9,2.0,BMW,36702
 A4,2019,26750,Automatic,9970,Diesel,150,49.6,2.0,Audi,14504
 Golf,2016,11240,Manual,19074,Diesel,0,74.3,1.6,VW,40373
 Tiguan,2019,28900,Automatic,750,Diesel,145,40.4,2.0,VW,35008
 3 Series,2005,5678,Automatic,63000,Diesel,260,42.2,2.0,BMW,29239
 C Class,2018,18799,Automatic,28848,Diesel,145,64.2,2.1,Mercedes,45428
 Polo,2017,9982,Manual,19338,Petrol,20,60.1,1.0,VW,36772
 Up,2020,10950,Manual,100,Petrol,145,54.3,1.0,VW,15351
 5 Series,2016,14400,Automatic,51552,Diesel,30,62.8,2.0,BMW,15737
 X5,2019,50990,Semi-Auto,4729,Diesel,145,37.7,3.0,BMW,33067
 A5,2019,24498,Semi-Auto,50,Petrol,145,40.4,2.0,Audi,42645
 1 Series,2017,20750,Semi-Auto,16977,Petrol,200,39.8,3.0,BMW,14191
 Up,2018,11790,Manual,22417,Petrol,145,50.4,1.0,VW,33198
 5 Series,2018,29500,Semi-Auto,9629,Diesel,145,56.5,3.0,BMW,7232
 1 Series,2014,14950,Semi-Auto,56355,Petrol,235,37.7,3.0,BMW,11699
 Passat,2016,10499,Automatic,64535,Diesel,30,60.1,2.0,VW,8452
 C Class,2019,28388,Semi-Auto,4900,Diesel,145,64.2,2.0,Mercedes,14986
 Tiguan,2018,19691,Manual,3403,Petrol,145,46.3,1.4,VW,43552
 A6,2019,33999,Semi-Auto,15885,Diesel,145,50.4,3.0,Audi,44156
 2 Series,2020,23990,Semi-Auto,18,Diesel,150,49.6,2.0,BMW,40361
 3 Series,2019,27780,Automatic,4586,Diesel,145,52.3,2.0,BMW,45431
 Polo,2020,16990,Manual,1,Petrol,150,50.4,1.0,VW,12886
 Q2,2019,24450,Semi-Auto,12500,Petrol,145,40.9,1.5,Audi,15372
 Polo,2018,10700,Manual,31023,Petrol,150,64.2,1.0,VW,25123
 Polo,2017,10298,Manual,16430,Petrol,145,60.1,1.0,VW,38586
 Q3,2019,28450,Manual,3544,Diesel,150,40.9,2.0,Audi,31447
 A Class,2016,17000,Semi-Auto,21067,Diesel,20,68.9,2.1,Mercedes,3891
 C Class,2016,24749,Automatic,21118,Diesel,125,61.4,2.1,Mercedes,34663
 Golf,2020,21498,Semi-Auto,10,Diesel,150,53.3,2.0,VW,28185
 Tiguan,2019,27999,Manual,13448,Diesel,145,42.2,2.0,VW,5509
 4 Series,2019,30990,Automatic,9897,Diesel,145,53.3,3.0,BMW,36286
 A1,2019,21991,Semi-Auto,10,Petrol,145,44.8,1.5,Audi,39257
 E Class,2018,21790,Semi-Auto,20837,Diesel,150,61.4,2.0,Mercedes,33051
 A6,2016,12000,Automatic,71311,Diesel,30,61.4,2.0,Audi,40334
 T-Roc,2020,25310,Manual,3011,Petrol,145,42.2,1.5,VW,17534
 1 Series,2019,20440,Semi-Auto,9908,Petrol,150,47.9,2.0,BMW,26200
 3 Series,2013,14671,Semi-Auto,27604,Petrol,200,43.5,2.0,BMW,25523
 4 Series,2018,22991,Semi-Auto,10990,Diesel,145,65.7,2.0,BMW,38958
 Golf,2019,21650,Manual,2500,Diesel,145,62.8,2.0,VW,33130
 3 Series,2015,15981,Semi-Auto,33836,Diesel,125,60.1,2.0,BMW,16103
 4 Series,2016,10899,Manual,76280,Diesel,30,67.3,2.0,BMW,31505
 Golf,2020,30991,Semi-Auto,1500,Petrol,145,37.7,2.0,VW,13743
 Tiguan,2018,23947,Semi-Auto,9310,Diesel,145,39.8,2.0,VW,4261
 A Class,2017,26950,Semi-Auto,21940,Petrol,150,40.9,2.0,Mercedes,34756
 A Class,2018,17092,Semi-Auto,27272,Diesel,145,65.7,1.5,Mercedes,27645
 1 Series,2006,2995,Manual,90000,Diesel,200,49.6,2.0,BMW,17200
 A3,2019,22450,Manual,100,Diesel,145,55.4,2.0,Audi,22767
 A Class,2016,17000,Manual,28142,Petrol,200,41.5,2.0,Mercedes,10806
 Polo,2016,8299,Manual,31500,Petrol,20,60.1,1.0,VW,27191
 A Class,2019,32445,Automatic,5411,Petrol,150,35.3,2.0,Mercedes,32974
 3 Series,2018,19250,Automatic,28935,Diesel,145,64.2,2.0,BMW,13398
 A3,2016,13500,Automatic,42574,Petrol,20,60.1,1.4,Audi,1850
 1 Series,2018,19950,Semi-Auto,9271,Petrol,145,47.9,2.0,BMW,8432
 A5,2019,27990,Automatic,8000,Diesel,145,50.4,2.0,Audi,28464
 Polo,2019,12590,Manual,9198,Petrol,150,48.7,1.0,VW,46522
 A3,2017,18885,Semi-Auto,41225,Diesel,145,61.4,2.0,Audi,28024
 A1,2017,16000,Manual,22766,Petrol,30,55.4,1.4,Audi,15410
 Q3,2020,34000,Automatic,1000,Petrol,145,31.4,2.0,Audi,8459
 A4,2017,18100,Manual,17278,Petrol,145,48.7,1.4,Audi,46265
 3 Series,2017,17488,Automatic,15537,Diesel,30,64.2,2.0,BMW,6631
 Golf,2018,15712,Semi-Auto,17277,Petrol,145,58.9,1.5,VW,5908
 A5,2020,26900,Semi-Auto,5000,Petrol,145,39.8,2.0,Audi,30815
 C Class,2014,14000,Manual,14436,Petrol,125,52.3,2.0,Mercedes,21616
 Q2,2017,19400,Semi-Auto,16235,Petrol,145,54.3,1.4,Audi,46571
 GLE Class,2016,27998,Semi-Auto,21750,Diesel,205,47.9,2.1,Mercedes,40832
 GLC Class,2019,38790,Automatic,7318,Diesel,145,40.9,2.0,Mercedes,16073
 X3,2019,55610,Automatic,3367,Petrol,145,24.8,3.0,BMW,7712
 A Class,2019,22980,Semi-Auto,16,Diesel,145,56.5,2.0,Mercedes,20876
 E Class,2017,21998,Automatic,21707,Diesel,145,61.4,2.0,Mercedes,21056
 GLC Class,2020,44995,Semi-Auto,6000,Diesel,145,40.4,2.0,Mercedes,15297
 A Class,2017,17498,Manual,9663,Diesel,30,62.8,2.1,Mercedes,34541
 5 Series,2019,29999,Semi-Auto,6737,Petrol,150,48.7,2.0,BMW,11785
 A Class,2019,20380,Semi-Auto,12326,Diesel,145,65.7,1.5,Mercedes,7725
 Polo,2016,10749,Automatic,39717,Petrol,20,60.1,1.2,VW,33369
 Golf,2017,13731,Manual,24543,Petrol,150,54.3,1.4,VW,28525
 X3,2019,34510,Automatic,8620,Diesel,145,54.3,2.0,BMW,43322
 2 Series,2019,21000,Manual,3078,Petrol,145,39.8,1.5,BMW,2688
 A1,2019,22000,Semi-Auto,7500,Petrol,150,40.9,2.0,Audi,17618
 Golf,2019,28999,Automatic,1875,Petrol,145,32.8,2.0,VW,46649
 Tiguan,2020,28990,Semi-Auto,2331,Diesel,145,39.8,2.0,VW,35713
 A6,2019,25998,Semi-Auto,19118,Diesel,145,47.9,2.0,Audi,30036
 Golf,2017,13995,Manual,24900,Diesel,145,61.4,1.6,VW,20338
 T-Roc,2020,20990,Manual,5311,Petrol,145,44.1,1.0,VW,27212
 A4,2019,30500,Automatic,6000,Petrol,145,40.9,2.0,Audi,46412
 Passat,2017,14250,Semi-Auto,20168,Petrol,145,56.5,1.4,VW,41800
 Golf,2017,16442,Manual,46498,Diesel,20,67.3,2.0,VW,7878
 Golf,2013,10990,Manual,52099,Diesel,20,68.9,2.0,VW,19388
 C Class,2017,21000,Semi-Auto,19566,Diesel,145,61.4,2.1,Mercedes,8920
 Golf,2019,16406,Automatic,15431,Petrol,145,44.8,1.0,VW,36277
